nct_id,start_date,status,phase,study_type,brief_title,official_title,condition_names,intervention_names,gender,minimum_age,maximum_age,healthy_volunteers,zip_codes,primary_purpose,allocation,intervention_model,observation_model,masking,design_description,study_description,outcome_description,outcome_measure,facilities_and_contacts,central_contacts
NCT04370821,2020-04-27,Recruiting,,Observational [Patient Registry],"COVID-19 CHAMPS Study of Healthcare, First Responder and Service Workers","COVID-19 CHAMPS Study of Healthcare, First Responder and Service Workers",COVID-19|Occupational Exposure to SARS-CoV-2,,All,18,,Accepts Healthy Volunteers,19085,,,,Cohort,,"       The objective of the US COVID-19 CHAMPS Study is to assess the short- and long-term physical,       social and behavioral health of all who were involved in supporting or delivering care for       COVID-19 patients. Included are first responders, maintenance and support staff as well as       healthcare professionals of all specialties and services. Initially the study will obtain       data on the working environment and emotional and physical health. Additional data will be       obtained on self-management, response strategies, effects on family, social and personal life       and careers. This well-characterized cohort of workers will enable characterization of the       health and social effects of their service, and prospective research on their future physical       and mental health. It will also serve as a registry for future, hypothesis-driven sub-studies       of behavioral and biological coping mechanisms and allostatic load, as well as randomized       clinical trials. Participants will be recruited throughout the United States and its       territories (Puerto Rico, Guam, the US Virgin Islands) with outcomes followed longitudinally       for twenty years.       Initial analysis will be descriptive and include computation of frequency distributions,       adjusted odds ratios and 95% confidence intervals. Multiple logistic regression methods will       be used to assess association of health symptoms or conditions with estimates of exposure to       COVID-19. Psychological distress will be estimated from self-reported responses to validated       psychological instruments and survey items created to capture the unique aspects of exposure       to COVID-19 in workplace settings. Odds rations will be adjusted for sex, age, race/ethnicity       and job classification. The logistic regression model(s) will include self-reported baseline       health status and other variables. Preliminary explorations of variable associations will be       performed to aid with the development of sub-studies from the registry.       No direct health benefits are anticipated for participating in the study, but participants       may learn about their health. Participation in the study provides the participants the       opportunity to express the impact of responding to the COVID-19 pandemic on their health,       which may be a source of relief. Participants may feel satisfaction about sharing information       about their experiences that may help healthcare systems to plan for future health-related       emergencies.     ","       The COVID-19 CHAMPS Study will obtain data on the physical and mental health and well-being       of workers potentially exposed to the SARS-CoV-2 virus in the course of their duties.       Included are a broad range of occupations including those working in the community (police       officers, firefighters, emergency personnel, screening staff) as well as in permanent or       temporary sites that care for patients (service staff, nurses, physicians and other health       professionals). CHAMPS will obtain data on various exposure factors and health and create a       registry of participants for extended follow up and sub-studies.     ",,Sample Size of enrolled CHAMPS Study participants by demographic characteristics during the first two years of the study,Villanova Univresity; Villanova; Pennsylvania; 19085; Sandra Schultz; sandra.schultz@villanova.edu; 610-631-2643,Sandra Schultz; 610-631-2643; sandra.schultz@villanova.edu
NCT04363450,2020-04-27,Recruiting,Phase 3,Interventional,Hydroxychloroquine as Prophylaxis for COVID-19 in Healthcare Workers (HCQPreP),Hydroxychloroquine as Primary Prophylaxis for COVID-19 in Healthcare Workers (HCQPreP),Corona Virus Infection|COVID-19|Healthcare Worker|Hydroxychloroquine|Prophylaxis|Sars-CoV2|Wuhan Coronavirus,Hydroxychloroquine;Placebo,All,18,,Accepts Healthy Volunteers,70503|70506,Prevention,Randomized,Parallel Assignment,,Quadruple,"       The study is a double blind placebo controlled at two hospitals in Lafayette, Louisiana       aiming to enroll 1700 participants with a 1:1 randomization. The HCQ dose in 400mg twice on       day 1, then 200mg twice weekly. The primary outcome variable is development of symptomatic       COVID-19 infection. The secondary objectives are number of days absent from work due to       symptomatic COVID-19 infection and rate of severe disease due to COVID-19 (hypoxia in setting       of >50% lung involvement on chest imaging, respiratory failure, shock or end-organ damage).       The study will enroll participants for four weeks with and plan to treat with       hydroxychloroquine versus placebo for a total of 12 weeks.     ","       This a double-blind, randomized, placebo-controlled clinical trial to determine if primary       prophylaxis with hydroxychloroquine in healthcare workers reduces symptomatic COVID-19       infection. Healthcare workers will be randomized at a 1:1 allocation between intervention and       placebo arms and followed for 12 weeks. This study will enroll up to 1,700 participates in       Lafayette, Louisiana. The primary outcome will number of symptomatic COVID-19 infections.       Secondary endpoints included number of days healthcare workers are absent from work and rate       of severe infection.     ",Number of participants who develop symptoms of COVID-19 in the setting of a positive COVID-19 assay,Incidence of symptomatic COVID-19 infection in healthcare workers,"Lafayette General Medical Center; Lafayette; Louisiana; 70503; Ann D Chauffe, DO, MPH; achauf@lsuhsc.edu; 337-261-6000|University Hospital and Clinics; Lafayette; Louisiana; 70506; Ann D Chauffe, DO, MPH; achauf@lsuhsc.edu; 337-261-6000","Ann D. Chauffe, DO, MPH; 337-261-6161; achauf@lsuhsc.edu"
NCT04362865,2020-04-27,Recruiting,,Observational,Investigation of the B- and T-cell Repertoire and Immune Response in Patients With Acute and Resolved COVID-19 Infection,Investigation of the B- and T-cell Repertoire and Immune Response in Patients With Acute and Resolved COVID-19 Infection,COVID-19,,All,18,,Accepts Healthy Volunteers,20892,,,,Cohort,,"       Background:         -  Patients infected with COVID-19 have an unpredictable risk to worsen and die, making it            difficult to decide who can quarantine at home and who should be monitored for            respiratory failure as an inpatient. This risk may be related in part to the patient s            immune response which can be characterized with respect to the B- and T-cell repertoire.            Determining patterns of immune response which correlate with clinically effective            immunity may help in determining risk.         -  Patients receiving a vaccine for COVID-19 are tested for antibody production, but            ultimately protection from infection and survival are the most important endpoints,            which will take time. If patients can be checked for a pre-defined favorable pattern of            immune response, it may significantly speed selection of effective candidate vaccines.         -  In patients with hematologic malignancies, including patients with hairy cell leukemia            (HCL) who we have extensive experience treating, we do not know if we should be steering            away more from treatments which harm B-cell immunity, like rituximab or obinutuzumab, or            steering away more from treatments which harm T-cell immunity, like purine analogs.            Characterizing the immune response in COVID-19 patients will quickly answer this            question.       Objective:       - To characterize immune response in patients with current or prior COVID-19 infection       Eligibility:         -  Age 18 years or older         -  Patients with known or suspected COVID-19 infection, or normal donors (i.e., those            individuals without COVID-19)       Design:         -  Blood samples will be collected for research to characterize immune response.         -  In individuals with known current or prior COVID-19, samples will be obtained up to once            per week, at least once during the acute phase of infection and once soon after            recovery. In individuals without COVID-19 at the time of enrollment (i.e., ''normal''            donors), samples will be collected once; in the case of future COVID-19 infection,            samples may be collected at the same times during/post-infection as an individual with            COVID-19 at enrollment.         -  All subjects will be followed for approximately 2 years. An additional blood sample may            be collected in all subjects at one additional time after the receipt of future            COVID-19-related vaccination on or off study.         -  This protocol does not involve treatment. The accrual ceiling is set at 150 subjects     ","       Background:       People who get infected with COVID-19 have an unpredictable risk to worsen and die. This       makes it hard to decide who can quarantine at home and who should be treated at a hospital.       Researchers think the risk may be related to a person s B and T cells. B and T cells are the       major components of a person s immune response.       Objective:       To examine how immune cells respond to COVID-19 infection.       Eligibility:       Adults ages 18 and older who have a confirmed or suspected COVID-19 infection or had COVID-19       in the past, as well as people who have not had COVID-19       Design:       Participants will be screened with medical record review.       Participants will give blood samples at NIH or at their local doctor s office or lab.       Participants who have or are suspected to have COVID-19 will give blood samples up to once a       week during the active infection. This may include while they are in the hospital. They will       also give a sample after the infection is over.       Participants who have recovered from a past COVID-19 infection will give a blood sample at       least once, and maybe up to once per week for a few weeks.       Participants who do not have a history of COVID-19 infection will give a blood sample once.       If they become infected in the future, they may be asked to give blood samples during       infection and after, as listed above.       Participants who get a vaccine for COVID-19 in the future may be asked to give an extra blood       sample.       Participants will be contacted by phone or email every 2 months for up to 2 years.     ",characterize immune response in patients with active or prior COVID-19 infection,Characterize immune response,National Institutes of Health Clinical Center; Bethesda; Maryland; 20892; For more information at the NIH Clinical Center contact National Cancer Institute Referral Office; 888-624-1937,"Leah E Hoffman, R.N.; (240) 858-3828; leah.hoffman@nih.gov"
NCT04363437,2020-04-26,Recruiting,Phase 2,Interventional,COlchicine in Moderate-severe Hospitalized Patients Before ARDS to Treat COVID-19,COlchicine in Moderate-severe Hospitalized Patients Before ARDS to Treat COVID-19 (the COMBAT-COVID-19 Pilot Study),Coronavirus Infection,Colchicine;Usual Care,All,18,100,No,11219,Treatment,Randomized,Parallel Assignment,,None (Open Label),"       Prospective, completely randomized, open labeled, controlled study. Patients will be       randomized into two groups (A and B). Patients of group A will be treated under what is       considered current standard of care at Maimonides Medical Center while group B patients will       receive colchicine in addition to standard of care.       Treatment arm       In addition to the local standard of care for COVID 19 patients, the patient will receive       colchicine PO as such:         -  Loading dose of 1.2 mg followed by 0.6mg after 2 hours if without significant            gastrointestinal symptoms (day 1)         -  The next day 0.6mg bid for 14 days or until discharge       Patients who are on HMG-Co A Reductase Inhibitors (atorvastatin, fluvastatin, pravastatin,       simvastatin), fibrates, genfibrozil, amiodarone, dronedarone or digoxin should have the       colchicine dosage reduced to a loading dose of 0.6mg followed by 0.3mg after two hours (day       1) followed by 0.3mg BID for 14 days or until discharge.       If patients have significant gastrointestinal symptoms after loading, the dosage may be       reduced to 0.3mg BID for the rest of the 14 day course or until discharge. If       gastrointestinal symptoms continue, the medication should then be discontinued. Patients who       experience sensory motor neuropathy, or symptoms and laboratory findings consistent with       rhabdomyolysis should prompt immediate discontinuation of the drug. If renal function       deteriorates during the treatment course and CrCl <30ml/min, colchicine should also be       discontinued.       Control arm Usual medical therapy (can include medications such as hydroxychloroquine,       azithromycin)       Patients should NOT receive, Remdesivir, IL-6 inhibitors (Tociluzimab, Sarilumab), JAK       inhibitors, IL-1 inhibitors, or other immunomodulators for COVID-19 before randomization.       Since the primary clinical endpoint is progression of disease, if the patient requires beyond       8L nasal cannula, eg. high flow O2 or mechanical ventilation, the primary clinical endpoint       is met and the above experimental medications will be permitted. To rephrase, the patient       will be allowed, Remdesivir, IL-6 inhibitors and other immunomodulators if then deemed       medically necessary by the treating physician.     ","       The most prevalent complication of COVID-19 infection is respiratory failure from severe       acute respiratory syndrome (SARS), the leading cause of mortality. There is increasing       indication that the decompensation in severe COVD-19 infection may be due to a cytokine storm       syndrome. This hyperinflammatory syndrome results in a fulminant and fatal hypercytokinemia       and multiorgan failure.       Approximately 15% of patients with COVID-19 infection are hospitalized and 20-30% of these       hospitalized patients require ICU care and/or mechanical ventilation. Overall mortality in       hospitalized patients is approximately 20-25%. There is significant interest in therapies       that can be given upstream to reduce the rate of mechanical ventilation and thus mortality.       We hypothesize that treatment with colchicine in COVID-19 moderate-severe patients may       decrease the risk of progression into ARDS requiring increased oxygen requirements,       mechanical ventilation, and mortality.     ",,Percentage of Patients requiring supplemental oxygen beyond 8L nasal cannula,"Maimonides Medical Center; Brooklyn; New York; 11219; Felix Yang, MD; fyang@maimonidesmed.org; 718-283-6667","Felix Yang, MD; 718-283-6667; fyang@maimonidesmed.org"
NCT04346615,2020-04-25,Recruiting,Phase 2/Phase 3,Interventional,Safety and Efficacy Trial of Vazegepant Intranasal for Hospitalized Patients With COVID-19 Requiring Supplemental Oxygen,"BHV3500-203: Double-Blind, Randomized, Placebo Controlled, Safety and Efficacy Trial of Vazegepant (BHV-3500) Intranasal (IN) for Hospitalized Patients With COVID-19 Requiring Supplemental Oxygen",COVID-19 Infection,Placebo;Vazegepant (BHV-3500),All,18,,No,19107,Treatment,Randomized,Parallel Assignment,,Quadruple,,"       The purpose of this study is to determine if a CGRP receptor antagonist may potentially blunt       the severe inflammatory response at the alveolar level, delaying or reversing the path       towards oxygen desaturation, ARDS, requirement for supplemental oxygenation, artificial       ventilation or death in patients with COVID-19 on supplemental oxygen.     ","Efficacy will be measured by examining the percentage of subjects reported as being in each category of a 6-point, ordinal, severity rating scale at Day 15. The severity ratings are: Death Hospitalized, on invasive mechanical ventilation or ECMO Hospitalized, on non-invasive ventilation or high flow oxygen devices Hospitalized, requiring supplemental oxygen Hospitalized, not requiring supplemental oxygen Not hospitalized",To evaluate the safety and efficacy of vazegepant compared with placebo in patients hospitalized with COVID-19 infection requiring supplemental oxygen.,Thomas Jefferson University Hospital; Philadelphia; Pennsylvania; 19107; Agbenu Amali; Agbenu.Amali@Jefferson.edu; 215-503-8954,"Elyse Stock, MD; 203-404-0410; clinicaltrials@biohavenpharma.com"
NCT04355728,2020-04-25,Recruiting,Phase 1/Phase 2,Interventional,Use of UC-MSCs for COVID-19 Patients,Umbilical Cord-derived Mesenchymal Stem Cells for COVID-19 Patients With Acute Respiratory Distress Syndrome (ARDS),"Acute Respiratory Distress Syndrome|ARDS|ARDS, Human|Corona Virus Infection|COVID-19",Standard of Care;Umbilical Cord Mesenchymal Stem Cells,All,18,,No,33136,Treatment,Randomized,Parallel Assignment,,Single,,       The purpose of this research study is to learn about the safety and efficacy of human       umbilical cord derived Mesenchymal Stem Cells (UC-MSC) for treatment of COVID-19 Patients       with Severe Complications of Acute Lung Injury/Acute Respiratory Distress Syndrome       (ALI/ARDS).     ,Safety will be defined by the incidence of severe adverse events as assessed by treating physician,Incidence of Severe Adverse Events,"Diabetes Research Institute, University of Miami Miller School of Medicine; Miami; Florida; 33136; Rodolfo Alejandro, M.D.; ralejand@med.miami.edu; (305) 243-5324","Camillo Ricordi, MD; 305-243-6913; cricordi@miami.edu"
NCT04352946,2020-04-24,Not yet recruiting,Phase 3,Interventional,HEalth Care Worker pROphylaxis Against COVID-19: The HERO Trial,"Protecting Health Care Workers From COVID-19 With Hydroxychloroquine Pre-exposure Prophylaxis: A Randomized, Placebo-controlled Trial",COVID-19|Health Care Worker|Hydroxychloroquine|Prophylaxis,Hydroxychloroquine Pre-Exposure Prophylaxis;Placebo oral tablet,All,18,,Accepts Healthy Volunteers,10022,Prevention,Randomized,Parallel Assignment,,Quadruple,"       This is a double-blinded, randomized placebo-controlled trial to determine if pre-exposure       prophylaxis (PrEP) with 400mg hydroxychloroquine (HCQ), taken orally once daily, for health       care workers in the hospital reduces symptomatic and asymptomatic COVID-19 disease during the       pandemic.       Secondary outcomes include 1) Adverse events; 2) Duration of symptomatic COVID-19 disease; 3)       Days hospitalized attributed to COVID-19; 4) Respiratory failure attributable to COVID-19       disease requiring i) non-invasive ventilation or ii) intubation/mechanical ventilation; 5)       Mortality attributed to COVID-19 disease, and; 6) Number of days unable to work attributed to       COVID-19. Laboratory markers within participants with confirmed COVID-19 will also be       explored.       A total of 374 HCW will be randomized using a fixed 1:1 allocation ratio with randomization       in permuted block of varying sizes from four to eight will be used to ensure equal allocation       to each group. The study population will be health care workers at the New York Presbyterian       Hospital - Cornell Campus and they will participate in the study for 90 days.       To determine if the intervention has been successful, the cumulative incidence of COVID-19       infection in the intervention group will be compared to the cumulative incidence of COVID-19       in the placebo group with relative (risk ratio and 95% CI) and absolute measures (risk       difference and 95% CI). Investigators will also calculate adjusted risk ratios and risk       differences including job class as a covariate and any other baseline clinical and       demographic characteristics that are not balanced between the treatment and placebo arms       using a log-binomial regression model.     ","       This is a double-blinded, randomized placebo-controlled trial to determine if pre-exposure       prophylaxis (PrEP) with 400mg hydroxychloroquine (HCQ), taken orally once daily, for health       care workers in the hospital reduces symptomatic and asymptomatic COVID-19 disease during the       pandemic. 374 health care workers will be randomized at a 1:1 allocation between the       intervention and placebo arms and followed for 90 days. The cumulative incidence of COVID-19       infection in the intervention group will be compared to the cumulative incidence of COVID-19       in the placebo group with relative (risk ratio and 95% CI) and absolute measures (risk       difference and 95% CI).     ",Incidence of symptomatic and asymptomatic COVID-19 infection in health care workers,Cumulative Incidence of COVID-19 Infection,"The New York Center for Travel and Tropical Medicine; New York; New York; 10022; Bradley A Connor, MD; bconnor1@gmail.com; 212-988-2800","Bradley A Connor, MD; 9172138998; bconnor1@gmail.com"
NCT04368260,2020-04-24,Recruiting,N/A,Interventional,Clinical Validation of New Injection Molded Flocked Nasopharyngeal Swabs in Response to the COVID-19 Pandemic,Clinical Validation of New Injection Molded Flocked Nasopharyngeal Swabs in Response to the COVID-19 Pandemic,COVID19,Control swab;Prototype swab,All,,99,Accepts Healthy Volunteers,22903,Other,Non-Randomized,Parallel Assignment,,None (Open Label),,"       The SARS-CoV-2 pandemic has resulted in an international shortage of the nasopharyngeal (NP)       swabs used to collect sample for virological testing. This shortage has become a crisis as       testing capacity is growing, and threatens to become the bottleneck at University of Virginia       Health System and in the Commonwealth of Virginia, as it already is in other testing centers.       To resolve this crisis, a team in the Clinical Microbiology Laboratories at University of       Virginia Medical Center has been working closely with biomedical engineers in the University       of Virginia (UVA), School of Engineering and with high volume domestic manufacturers       developing injection molded polypropylene flocked nylon NP swab.       This prototype will be tested for non-inferiority relative to existing, already validated NP       swabs (control swab) for purposes of molecular microbiology: i.e. the polymerase chain       reaction (PCR) tests used for virological testing for SARS-CoV-2. Specifically, the       nasopharynx of patients with Covid-19 and patients under investigation (PUI) for Covid-19,       the disease caused by SARS-CoV-2, will be swabbed using a prototype swab and a control swab       (the standard of care swab), and test for concordance of SARS-CoV-2. In all cases the swab       will be transported in validated FDA cleared viral transport medium (VTM) as per standard       operating procedure at University of Virginia Medical Center.     ",Both the prototype and control nasopharyngeal swabs will be utilized in each subject. The rate of agreement between the swabs will be determined by the number of subjects for which both swabs provide the same COVID-19 PCR result.,Number of subjects for which the prototype swab and the control swab provide the same COVID-19 PCR result,University of Virginia; Charlottesville; Virginia; 22903; Limor Steinberg; LIS5AY@virginia.edu; 434-243-9873,Limor Steinberg; 434-243-9873; LIS5AY@virginia.edu
NCT04380961,2020-04-24,Recruiting,Phase 2,Interventional,A Study to Evaluate the Efficacy and Safety of Sirukumab in Confirmed Severe or Critical Confirmed Coronavirus Disease (COVID)-19,"Phase 2, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Efficacy and Safety of Sirukumab in Confirmed Severe or Critical COVID-19 Disease",Severe or Critical Confirmed Coronavirus Disease (COVID)-19,Placebo;Sirukumab;Standard of Care (SOC),All,18,84,No,07102|59701|75246,Treatment,Randomized,Parallel Assignment,,Quadruple,,       The purpose of this study is to evaluate the clinical response of sirukumab (administered as       a single intravenous dose) plus standard of care (SOC) compared to placebo plus SOC in       COVID-19.     ,"Time to improvement is defined as an improvement of at least 2 categories relative to baseline on the 6-point ordinal clinical recovery scale. The 6-point ordinal clinical recovery scale provides 6 mutually exclusive conditions ordered from best to worst, and the score reflects the participant''s worst situation on the day assessed. The ordinal clinical recovery scale categories are : not hospitalized (category 1); Hospitalization; not requiring supplemental oxygen (category 2); hospitalized, requiring low flow supplemental oxygen (category 3); hospitalized, on non-invasive pressure ventilation or high flow oxygen devices (category 4); hospitalized, on invasive mechanical ventilation or extracorporeal membrane oxygenation (ECMO (category 5); death (category 6).",Time to Improvement of at Least 2 Categories Relative to Baseline on the 6-Point Ordinal Clinical Recovery Scale,"Baylor Scott & White Research Institute; Dallas; Texas; 75246|Mercury Street Medical Group, PLLC; Butte; Montana; 59701|Saint Michael''s Medical Center- Infectious Disease; Newark; New Jersey; 07102",Study Contact; 844-434-4210; JNJ.CT@sylogent.com
NCT04360850,2020-04-24,Recruiting,,Observational,Use of Telehealth Technology by Mental Health Care Professionals in Times of COVID-19 Pandemic,Use of Telehealth Technology by Mental Health Care Professionals in Times of COVID-19 Pandemic,Online Therapy,online survey,All,18,,Accepts Healthy Volunteers,98195,,,,Ecologic or Community,,       A brief online survey to be completed by clinical therapists. This brief 28 question online       survey asks mental health care providers questions about their use of technology.     ,       A brief online survey to be completed by clinical therapists.     ,"we are not reporting an overall score on a scale, mostly true false and multiple choice",responses to the survey questions,University of Washington; Seattle; Washington; 98195; Hunter Hoffman; hunthoff9@gmail.com,"Hunter G Hoffman, Ph.D.; 206-601-5090; hunthoff9@gmail.com"
NCT04331899,2020-04-24,Recruiting,Phase 2,Interventional,Single-Blind Study of a Single Dose of Peginterferon Lambda-1a Compared With Placebo in Outpatients With Mild COVID-19,"A Phase 2 Randomized, Single Blind Study of a Single Dose of Peginterferon Lambda-1a Compared With Placebo in Outpatients With Mild COVID-19",COVID-19,Peginterferon Lambda-1a;Placebo,All,18,64,No,94305,Treatment,Randomized,Parallel Assignment,,Single,       Patients will attend up to 9 study visits over a period of up to 28 days.     ,"       To evaluate the efficacy of a single dose of subcutaneous injections of 180 ug of       Peginterferon Lambda-1a, compared with placebo in reducing the duration of viral shedding of       SARS-CoV-2 virus in patients with uncomplicated COVID-19 disease.     ",Time to first of two consecutive negative respiratory secretions obtained by nasopharyngeal and/or oropharyngeal and/or salivary swabs tests for SARS-CoV-2 by qRT-PCR.,Duration of Viral shedding of SARS-CoV-2 by qRT-PCR,Stanford University School of Medicine; Stanford; California; 94305; Savita Kamble; skamble@stanford.edu; 650-736-7388,Upinder Singh; 6507234045; usingh@stanford.edu
NCT04373044,2020-04-24,Not yet recruiting,Phase 2,Interventional,Antiviral Therapy and Baricitinib for the Treatment of Patients With Moderate or Severe COVID-19,"An Open-Label, Phase II of Antiviral Therapy Combined With Baricitinib in Moderate and Severe Patients With COVID-19",SARS Coronavirus 2 Infection,Baricitinib;Hydroxychloroquine;Lopinavir/Ritonavir;Remdesivir,All,18,,No,90033,Treatment,N/A,Single Group Assignment,,None (Open Label),"       PRIMARY OBJECTIVE:       I. To determine the efficacy of baricitinib combined with antiviral therapy in participants       with COVID-19-related moderate and severe disease in terms of reduction of the proportion of       participants requiring invasive mechanical ventilation or dying compared to that expected       with antiviral alone within 28 days.       SECONDARY OBJECTIVES:       I. To describe the clinical findings in a cohort of symptomatic COVID-19-infected       participants.       II. To test whether cytokine signatures, D-dimer, C-reactive protein (CRP), Interleukin 6       (IL-6),Angiotensin converting enzyme 2 (ACE2), ferritin and TNFalpha levels are predictor of       progression to invasive ventilatory support or death.       III. To describe adverse events (AEs) associated with baricitinib when administered at 4mg in       combination with antivirals.       EXPLORATORY OBJECTIVES:       I. Describe the decay in quantitative viral burden from upper respiratory tract samples       collected sequentially under treatment with baricitinib in combination with antivirals and       with antivirals alone.       II. To obtain preliminary data on efficacy and tolerability of baricitinib in combination       with antivirals in participants with cancer.       OUTLINE:       Patients receive baricitinib orally (PO) daily. Patients also receive an antiviral therapy       regimen per the study investigator and treating physician: 1) hydroxychloroquine PO three       times daily (TID), 2) lopinavir/ritonavir PO twice daily (BID), or 3) remdesivir. All       treatment continues for 14 days in the absence of disease progression or unacceptable       toxicity.       Patients are followed for 28 days after enrollment to treatment.     ","       This phase II trial studies how well antiviral therapy works when given in combination with       baricitinib for the treatment of moderate or severe coronavirus disease-2019 (COVID-19).       Antiviral therapy such as hydroxychloroquine, lopinavir/ritonavir, and remdesivir may act       against infections caused by the virus responsible for COVID-19. Baricitinib may reduce lung       inflammation and help prevent the need for being placed on a ventilator should the disease       worsen. Giving antiviral therapy in combination with baricitinib may reduce the risk of the       disease from getting worse compared to antiviral therapy alone.     ","Descriptive statistics, including means, standard deviations, and ranges for continuous variables, as well as percentages and frequencies for categorical variables, will be provided to describe all the clinical findings in a cohort of symptomatic coronavirus disease 2019 (COVID-19)-infected subjects. The collected data will also be graphically presented in boxplots, histograms, and scatter plots. Investigations for outliers and assumptions for statistical analysis, e.g., normality and homoscedasticity, will be made. Group comparisons will be made using either the parametric tests such as t-test and analysis of variance (ANOVA), or the non-parametric statistical method such as Wilcoxon and Kruskal-Wallis tests for continuous variable and Chi-square test for categorical variables. Point estimates, along with the corresponding p-values and 95% confidence intervals will be reported.",Proportion of patients requiring invasive mechanical ventilation or dying,"Los Angeles County-USC Medical Center; Los Angeles; California; 90033; Tali Homsey, BA; Tali.Homsey@med.usc.edu; 323-273-8338|USC / Norris Comprehensive Cancer Center; Los Angeles; California; 90033; Tali Homsey, BA; Tali.Homsey@med.usc.edu; 323-273-8338","Tali Homsey, BA; (323) 273-8338; Tali.Homsey@med.usc.edu"
NCT04341675,2020-04-24,Recruiting,Phase 2,Interventional,Sirolimus Treatment in Hospitalized Patients With COVID-19 Pneumonia,Sirolimus Treatment in Hospitalized Patients With COVID-19 Pneumonia (The SCOPE Trial),COVID-19,Placebo;Sirolimus,All,18,,No,45267,Treatment,Randomized,Parallel Assignment,,Quadruple,,"       The main objective of our study is to determine if treatment with sirolimus can improve       clinical outcomes in hospitalized patients with COVID-19. The investigators will employ a       randomized, double blind, placebo-controlled study design. 30 subjects will be randomized in       a 2:1 fashion to receive sirolimus or placebo. Sirolimus will be given as a 6mg oral loading       dose on day 1 followed by 2mg daily for a maximum treatment duration of 14 days or until       hospital discharge, whichever happens sooner. Chart reviews will be conducted daily to       determine changes in clinical status, concomitant medications and laboratory parameters.       Study specific biomarkers will be measured at baseline and then at days 3, 7 and 14.     ","Progression to respiratory failure requiring advanced support measures, either due to inadequate ventilation (non-invasive or invasive mechanical ventilation) or inadequate oxygenation (CPAP* or high flow supplemental oxygen at rates ≥ 15 liters/minute), in patients given sirolimus compared to the placebo group. * CPAP use for known obstructive sleep apnea will not be considered as disease progression.",Proportion of patients who progress to require advanced respiratory support,University of Cincinnati; Cincinnati; Ohio; 45267; Davis Alexandria; davis5ax@ucmail.uc.edu; 513-558-2187,"Nishant Gupta, MD; 5135584831; guptans@ucmail.uc.edu"
NCT04365153,2020-04-24,Recruiting,Phase 2,Interventional,Canakinumab to Reduce Deterioration of Cardiac and Respiratory Function Due to COVID-19,Canakinumab to Reduce Deterioration of Cardiac and Respiratory Function in SARSCoV2 Associated Acute Myocardial Injury and Hyperinflammation,COVID-19|SARS-CoV 2,Canakinumab Injection 300mg;Canakinumab Injection 600mg;Placebos,All,18,,No,44195,Treatment,Randomized,Factorial Assignment,,Quadruple,"       This is a prospective, Phase 2, single center, blinded randomized-controlled study designed       as a proof of concept to demonstrate that early treatment with canakinumab prevents       progressive heart and respiratory failure in patients with COVID 19 infection, myocardial       injury and hyperinflammation. These results will lead to a Phase III randomized       placebo-controlled trial.       The study will be performed in approximately 7 months total, starting from the first patient       enrolled with enrollment expected to complete within 2 months. The follow-up period is 5       months for each patient enrolled. The end of the study, including statistical analysis and       drafting of the final report is expected within 1 month from the last patient enrolled.       A total of 45 patients will be randomized using a 1:1:1 allocation ratio: 15 subjects will       receive 600 mg intravenous canakinumab (8 mg/kg if </= 40 kg), 15 subjects will receive 300       mg intravenous canakinmab (4 mg/kg if </= 40 kg), and 15 patients will receive placebo       infusion.       The investigator, clinical team, and subject will be blinded to treatment assignment.     ","       TThe purpose of this prospective, Phase 2, single center, blinded, randomized controlled       study is to demonstrate as a proof of concept that early treatment with canakinumab prevents       progressive heart and respiratory failure in patients with COVID-19 infection. These results       will lead to and inform a Phase III randomized placebo-controlled trial.     ",Number of days,"Time to clinical improvement up to day 14, defined as the time in days from randomization to either an improvement of two points on a seven-category ordinal scale or discharge from the hospital, whichever occurs first.","Cleveland Clinic; Cleveland; Ohio; 44195; Paul C Cremer, M. D.; cremerp@ccf.org; 216-445-6765","Paul C Cremer, M. D.; 216-445-6765; cremerp@ccf.org"
