nct_id,start_date,phase,study_type,brief_title,gender,minimum_age,healthy_volunteers,primary_purpose,allocation,masking,int_and_obs_model
NCT04359836,2020_16,,Observational,A Study to Explore the Role of Gut Flora in COVID-19 Infection,All,18.0,Accepts Healthy Volunteers,,,,Other
NCT04357782,2020_16,Phase 1/Phase 2,Interventional,Administration of Intravenous Vitamin C in Novel Coronavirus Infection (COVID-19) and Decreased Oxygenation,All,18.0,No,Treatment,Non-Randomized,None (Open Label),Single Group Assignment
NCT04350593,2020_16,Phase 3,Interventional,Dapagliflozin in Respiratory Failure in Patients With COVID-19,All,18.0,No,Treatment,Randomized,Quadruple,Parallel Assignment
NCT04347239,2020_16,Phase 2,Interventional,Study to Evaluate the Efficacy and Safety of Leronlimab for Patients With Severe or Critical Coronavirus Disease 2019 (COVID-19),All,18.0,No,Treatment,Randomized,Quadruple,Parallel Assignment
NCT04356443,2020_16,,Observational,Non-Invasive Monitoring of Respiratory Function in Spontaneously Breathing Patients With COVID-19 Infection,All,18.0,No,,,,Cohort
NCT04339998,2020_16,,Observational,Assessment of Exam Findings in Coronavirus Disease 2019 (COVID-19) With Point-of-Care Ultrasonography (POCUS),All,18.0,No,,,,Cohort
NCT04342169,2020_16,Phase 2,Interventional,University of Utah COVID-19 Hydrochloroquine Trial,All,18.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04357574,2020_16,,Observational,Assessing the System for High-Intensity Evaluation During Radiotherapy During Changes in Response to COVID-19,All,18.0,No,,,,Other
NCT04345653,2020_16,Phase 2,Interventional,Hydroxychloroquine as Chemoprevention for COVID-19 for High Risk Healthcare Workers,All,18.0,Accepts Healthy Volunteers,Prevention,,None (Open Label),Single Group Assignment
NCT04344015,2020_16,,Interventional,COVID-19 Plasma Collection,All,18.0,No,Other,,None (Open Label),Single Group Assignment
NCT04326426,2020_16,Phase 3,Interventional,ODYSSEY: A Study to Investigate the Efficacy of Tradipitant in Treating Severe or Critical COVID-19 Infection,All,18.0,No,Treatment,Randomized,Triple,Parallel Assignment
NCT04331886,2020_16,,Observational,An Observational Study of Patients With Coronavirus Disease 2019,All,18.0,No,,,,Cohort
NCT04312009,2020_16,Phase 2,Interventional,Losartan for Patients With COVID-19 Requiring Hospitalization,All,18.0,No,Treatment,Randomized,Quadruple,Parallel Assignment
NCT04329533,2020_16,,Interventional,Effects of Using Mobile App on Perceived Stress During COVID-19 Pandemic,Female,18.0,Accepts Healthy Volunteers,Supportive Care,Randomized,None (Open Label),Parallel Assignment
NCT04343690,2020_16,,Interventional,COPING With COVID-19( CWC-19),All,18.0,Accepts Healthy Volunteers,Other,,None (Open Label),Single Group Assignment
NCT04333654,2020_15,Phase 1,Interventional,Hydroxychloroquine in Outpatient Adults With COVID-19,All,18.0,No,Treatment,Randomized,Quadruple,Parallel Assignment
NCT04341116,2020_15,Phase 1/Phase 2,Interventional,Study of TJ003234 (Anti-GM-CSF Monoclonal Antibody) in Subjects With Severe Coronavirus Disease 2019 (COVID-19),All,18.0,No,Treatment,Randomized,Quadruple,Parallel Assignment
NCT04349410,2020_15,Phase 2/Phase 3,Interventional,The Fleming [FMTVDM] Directed CoVid-19 Treatment Protocol,All,,No,Treatment,Randomized,Single,Factorial Assignment
NCT04343261,2020_15,Phase 2,Interventional,Convalescent Plasma in the Treatment of COVID 19,All,18.0,No,Treatment,,None (Open Label),Single Group Assignment
NCT04349202,2020_15,,Observational,Beaumont Health Large-scale Automated Serologic Testing for COVID-19,All,18.0,Accepts Healthy Volunteers,,,,Cohort
NCT04340050,2020_15,Early Phase 1,Interventional,COVID-19 Convalescent Plasma,All,18.0,No,Treatment,,None (Open Label),Single Group Assignment
NCT04342637,2020_15,,Observational,COVID-19 Endoscopy Survey,All,30.0,No,,,,Cohort
NCT04342663,2020_15,Phase 2,Interventional,"A Double-blind, Placebo-controlled Clinical Trial of Fluvoxamine for Symptomatic Individuals With COVID-19 Infection",All,18.0,No,Treatment,Randomized,Triple,Parallel Assignment
NCT04342806,2020_15,,Observational [Patient Registry],"Healthcare Worker Exposure Response and Outcomes (HERO) Registry Study, COVID-19",All,18.0,,,,,Cohort
NCT04344444,2020_15,Phase 3,Interventional,Treatment in Patients With Suspected or Confirmed COVID-19 With Early Moderate or Severe Disease,All,18.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04359901,2020_15,Phase 2,Interventional,Sarilumab for Patients With Moderate COVID-19 Disease: A Randomized Controlled Trial With a Play-The-Winner Design,All,18.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04378595,2020_15,,Observational,Assessing Pediatric Food Insecurity During the COVID-19 Pandemic in Austin,All,18.0,Accepts Healthy Volunteers,,,,Cohort
NCT04377581,2020_15,,Observational,"COVID-19 Health Messaging Efficacy and Its Impact on Public Perception, Anxiety, and Behavior",All,18.0,Accepts Healthy Volunteers,,,,Ecologic or Community
NCT04311177,2020_15,Phase 2,Interventional,Losartan for Patients With COVID-19 Not Requiring Hospitalization,All,18.0,No,Treatment,Randomized,Quadruple,Parallel Assignment
NCT04343755,2020_15,Phase 2,Interventional,Convalescent Plasma as Treatment for Hospitalized Subjects With COVID-19 Infection,All,18.0,No,Treatment,,None (Open Label),Single Group Assignment
NCT04358029,2020_15,,Observational,Cardiac Arrhythmias In Patients With Coronavirus Disease (COVID-19),All,,No,,,,Case-Only
NCT04329923,2020_15,Phase 2,Interventional,The PATCH Trial (Prevention And Treatment of COVID-19 With Hydroxychloroquine),All,18.0,Accepts Healthy Volunteers,Treatment,Randomized,Triple,Parallel Assignment
NCT04344236,2020_15,Phase 2,Interventional,Gargling and Nasal Rinses to Reduce Oro- and Nasopharyngeal Viral Load in Patients With COVID-19,All,18.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04365699,2020_15,Phase 2,Interventional,Cardiovascular Effects of COVID-19,All,18.0,No,Treatment,Non-Randomized,None (Open Label),Single Group Assignment
NCT04359602,2020_15,,Observational [Patient Registry],COVID-19 Recovered Volunteer Research Participant Pool Registry,All,18.0,No,,,,Case-Only
NCT04317040,2020_15,Phase 3,Interventional,CD24Fc as a Non-antiviral Immunomodulator in COVID-19 Treatment,All,18.0,No,Treatment,Randomized,Quadruple,Parallel Assignment
NCT04344535,2020_15,Phase 1/Phase 2,Interventional,Convalescent Plasma vs. Standard Plasma for COVID-19,All,18.0,No,Treatment,Randomized,Quadruple,Parallel Assignment
NCT04331366,2020_15,,Interventional,Bidirectional Oxygenation Valve in the Management of Pulmonary Complications of COVID-19,All,18.0,No,Supportive Care,,None (Open Label),Single Group Assignment
NCT04373148,2020_15,,Observational,"Understanding Immunity to SARS-CoV-2, the Coronavirus Causing COVID-19",All,18.0,Accepts Healthy Volunteers,,,,Case-Control
NCT04342884,2020_15,,Observational,COVID-19 Community Research Partnership,All,,Accepts Healthy Volunteers,,,,Cohort
NCT04342728,2020_15,,Interventional,Coronavirus 2019 (COVID-19)- Using Ascorbic Acid and Zinc Supplementation,All,18.0,No,Supportive Care,Randomized,None (Open Label),Single Group Assignment
NCT04360538,2020_15,,Observational,Long Term Outcomes of Patients With COVID-19,All,18.0,No,,,,Cohort
NCT04345614,2020_15,Phase 2,Interventional,A Study of CM4620-Injectable Emulsion (IE) in Patients With Severe COVID-19 Pneumonia,All,18.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04372472,2020_15,,Observational,SQuISH-COVID: A Pilot Study,All,18.0,No,,,,Cohort
NCT04341441,2020_15,Phase 3,Interventional,Will Hydroxychloroquine Impede or Prevent COVID-19,All,18.0,Accepts Healthy Volunteers,Prevention,Randomized,Triple,Parallel Assignment
NCT04336215,2020_15,,Observational,Rutgers COVID-19 Cohort Study,All,20.0,Accepts Healthy Volunteers,,,,Cohort
NCT04339634,2020_15,,Observational,Simulation of Risk of Adverse Drug Events Associated With the Initiation of Drugs Repurposed for the Treatment of COVID-19 in Frail Elderly Adults With Polypharmacy,All,55.0,No,,,,Cohort
NCT04370262,2020_15,Phase 3,Interventional,Multi-site Adaptive Trials Using Hydroxycholoroquine for COVID-19,All,18.0,No,Treatment,Randomized,Triple,Parallel Assignment
NCT04328012,2020_15,Phase 2/Phase 3,Interventional,COVID MED Trial - Comparison Of Therapeutics for Hospitalized Patients Infected With SARS-CoV-2,All,18.0,No,Treatment,Randomized,Quadruple,Parallel Assignment
NCT04328467,2020_15,Phase 3,Interventional,Pre-exposure Prophylaxis for SARS-Coronavirus-2,All,18.0,No,Treatment,Randomized,Quadruple,Parallel Assignment
NCT04337762,2020_15,,Observational,Beat COVID-19 - Observational Trial,All,18.0,,,,,Case-Control
NCT04332081,2020_15,,Interventional,Hyperbaric Oxygen for COVID-19 Patients,All,18.0,No,Treatment,Non-Randomized,None (Open Label),Single Group Assignment
NCT04329897,2020_14,,Interventional,Acceptance and Commitment Therapy Delivered by Automated Software Messaging,All,18.0,Accepts Healthy Volunteers,Supportive Care,Randomized,None (Open Label),Parallel Assignment
NCT04331795,2020_14,Phase 2,Interventional,"Tocilizumab to Prevent Clinical Decompensation in Hospitalized, Non-critically Ill Patients With COVID-19 Pneumonitis",All,18.0,No,Treatment,Non-Randomized,None (Open Label),Single Group Assignment
NCT04341727,2020_14,Phase 3,Interventional,"Hydroxychloroquine,Hydroxychloroquine,Azithromycin in the Treatment of SARS CoV-2 Infection",All,18.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04354870,2020_14,Phase 2,Interventional,COVID-19 PrEP HCW HCQ Study,All,18.0,No,Treatment,Non-Randomized,None (Open Label),Parallel Assignment
NCT04333225,2020_14,Phase 2,Interventional,Hydroxychloroquine in the Prevention of COVID-19 Infection in Healthcare Workers,All,18.0,Accepts Healthy Volunteers,Prevention,Non-Randomized,None (Open Label),Parallel Assignment
NCT04335630,2020_14,,Observational,Cardiovascular Manifestations of COVID-19,All,18.0,No,,,,Case-Control
NCT04379661,2020_14,,Interventional,SUNLIGHT Study: Online Support Groups for MS to Address COVID-19,All,18.0,No,Supportive Care,Non-Randomized,None (Open Label),Parallel Assignment
NCT04336410,2020_14,Phase 1,Interventional,"Safety, Tolerability and Immunogenicity of INO-4800 for COVID-19 in Healthy Volunteers",All,18.0,Accepts Healthy Volunteers,Prevention,Non-Randomized,None (Open Label),Sequential Assignment
NCT04320615,2020_14,Phase 3,Interventional,A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia,All,18.0,No,Treatment,Randomized,Double,Parallel Assignment
NCT04368065,2020_14,,Observational [Patient Registry],Registry to Study Factors That May Impact COVID-19 Occurrence and Severity,All,18.0,,,,,Cohort
NCT04332991,2020_14,Phase 3,Interventional,Outcomes Related to COVID-19 Treated With Hydroxychloroquine Among In-patients With Symptomatic Disease,All,18.0,No,Treatment,Randomized,Quadruple,Parallel Assignment
NCT04325906,2020_14,,Interventional,Early PP With HFNC Versus HFNC in COVID-19 Induced Moderate to Severe ARDS,All,18.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04343651,2020_14,Phase 2,Interventional,Study to Evaluate the Efficacy and Safety of Leronlimab for Mild to Moderate COVID-19,All,18.0,No,Treatment,Randomized,Quadruple,Parallel Assignment
NCT04336332,2020_14,Phase 2,Interventional,Randomized Comparison of Combination Azithromycin and Hydroxychloroquine vs. Hydroxychloroquine Alone for the Treatment of Confirmed COVID-19,All,18.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04333953,2020_14,,Observational [Patient Registry],COVID-19 in Patients With HIV,All,,No,,,,Case-Only
NCT04343898,2020_14,,Observational,Study of the Treatment and Outcomes in Critically Ill Patients With COVID-19,All,18.0,No,,,,Cohort
NCT04358536,2020_14,,Observational,Classification of COVID-19 Infection in Posteroanterior Chest X-rays,All,18.0,Accepts Healthy Volunteers,,,,Cohort
NCT04358510,2020_14,,Observational,COVID-19 Mortality Prediction Model,All,18.0,No,,,,Cohort
NCT04328961,2020_14,Phase 2/Phase 3,Interventional,Hydroxychloroquine for COVID-19 PEP,All,18.0,Accepts Healthy Volunteers,Prevention,Randomized,Double,Parallel Assignment
NCT04338009,2020_14,,Interventional,Elimination or Prolongation of ACE Inhibitors and ARB in Coronavirus Disease 2019,All,18.0,No,Treatment,Randomized,Single,Parallel Assignment
NCT04343989,2020_14,Phase 2,Interventional,A Randomized Placebo-controlled Safety and Dose-finding Study for the Use of the IL-6 Inhibitor Clazakizumab in Patients With Life-threatening COVID-19 Infection,All,18.0,No,Treatment,Randomized,Double,Parallel Assignment
NCT04323787,2020_14,,Observational,Viral Infection and Respiratory Illness Universal Study[VIRUS]: COVID-19 Registry,All,,No,,,,Cohort
NCT04334967,2020_14,Phase 4,Interventional,Hydroxychloroquine in Patients With Newly Diagnosed COVID-19 Compared to Standard of Care,All,45.0,No,Treatment,Randomized,Single,Parallel Assignment
NCT04329832,2020_14,Phase 2,Interventional,Hydroxychloroquine vs. Azithromycin for Hospitalized Patients With Suspected or Confirmed COVID-19,All,18.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04318444,2020_13,Phase 2/Phase 3,Interventional,Hydroxychloroquine Post Exposure Prophylaxis for Coronavirus Disease (COVID-19),All,18.0,Accepts Healthy Volunteers,Prevention,Randomized,Quadruple,Parallel Assignment
NCT04347993,2020_13,,Observational [Patient Registry],"A Prospective 'Universal'"" Observational Database for COVID-19""",All,,No,,,,Case-Only
NCT04352764,2020_13,,Observational [Patient Registry],ANTIBODY BASED TESTS FOR SARSCoV-2 COVID-19) - Evaluation of Patients and Healthcare Providers in the Confines of Healthcare Settings,All,,Accepts Healthy Volunteers,,,,Case-Control
NCT04340557,2020_13,Phase 4,Interventional,Do Angiotensin Receptor Blockers Mitigate Progression to Acute Respiratory Distress Syndrome With SARS-CoV-2 Infection,All,18.0,No,Prevention,Randomized,None (Open Label),Parallel Assignment
NCT04326452,2020_13,,Interventional,Treating COVID-19 With a Bidirectional Oxygenation Valve,All,18.0,No,Treatment,,None (Open Label),Single Group Assignment
NCT04345692,2020_13,Phase 3,Interventional,A Randomized Controlled Clinical Trial: Hydroxychloroquine for the Treatment of COVID-19 in Hospitalized Patients,All,18.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04342195,2020_13,,Observational,Acquiring Convalescent Specimens for COVID-19 Antibodies,All,18.0,No,,,,Case-Only
NCT04335123,2020_13,Phase 1,Interventional,Study of Open Label Losartan in COVID-19,All,18.0,No,Treatment,,None (Open Label),Single Group Assignment
NCT04327804,2020_13,,Observational,A Longitudinal Study of COVID-19 Positive Patients Testing Nasal Swabs and Collecting Blood Samples for Research,All,,,,,,Case-Only
NCT04326309,2020_13,,Observational,Audio Data Collection for Identification and Classification of Coughing,All,18.0,Accepts Healthy Volunteers,,,,Cohort
NCT04326036,2020_13,Early Phase 1,Interventional,Use of cSVF Via IV Deployment for Residual Lung Damage After Symptomatic COVID-19 Infection,All,18.0,No,Treatment,Non-Randomized,None (Open Label),Parallel Assignment
NCT04322682,2020_13,Phase 3,Interventional,Colchicine Coronavirus SARS-CoV2 Trial (COLCORONA),All,40.0,No,Treatment,Randomized,Single,Parallel Assignment
NCT04339387,2020_9,,Observational,COVID-19 Risk Stratification,All,18.0,No,,,,Cohort
NCT04320472,2020_13,,Observational [Patient Registry],Acute Encephalopathy in Critically Ill Patients With COVID-19,All,18.0,,,,,Cohort
NCT04331509,2020_13,,Observational,COVID-19 Symptom Tracker,All,18.0,Accepts Healthy Volunteers,,,,Cohort
NCT04319445,2020_12,,Interventional,Mindfulness During COVID-19,All,,Accepts Healthy Volunteers,Other,,None (Open Label),Single Group Assignment
NCT04321811,2020_12,,Observational [Patient Registry],"Behavior, Environment And Treatments for Covid-19",All,18.0,,,,,Cohort
NCT04306393,2020_12,Phase 2,Interventional,Nitric Oxide Gas Inhalation in Severe Acute Respiratory Syndrome in COVID-19,All,18.0,No,Treatment,Randomized,Single,Parallel Assignment
NCT04305457,2020_12,Phase 2,Interventional,Nitric Oxide Gas Inhalation Therapy for Mild/Moderate COVID-19,All,18.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04376515,2020_12,,Interventional,Harnessing Online Peer Education Online Support Intervention for COVID-19 (HOPE COVID-19),All,18.0,Accepts Healthy Volunteers,Supportive Care,Randomized,Single,Parallel Assignment
NCT04323839,2020_12,,Observational [Patient Registry],COVID-19 PRIORITY (Pregnancy CoRonavIrus Outcomes RegIsTrY),Female,13.0,No,,,,Cohort
NCT04319731,2020_12,Early Phase 1,Interventional,A Pilot Study of Human Amniotic Fluid for COVID19 Associated Respiratory Failure,All,18.0,No,Treatment,,None (Open Label),Single Group Assignment
NCT04280705,2020_8,Phase 3,Interventional,Adaptive COVID-19 Treatment Trial (ACTT),All,18.0,No,Treatment,Randomized,Double,Parallel Assignment
NCT04373161,2020_12,,Interventional,Home Pulse Oximeter Use in Patients With COVID-19,All,18.0,No,Diagnostic,,None (Open Label),Single Group Assignment
NCT04315298,2020_12,Phase 2/Phase 3,Interventional,Evaluation of the Efficacy and Safety of Sarilumab in Hospitalized Patients With COVID-19,All,18.0,No,Treatment,Randomized,Quadruple,Parallel Assignment
NCT04308668,2020_12,Phase 3,Interventional,Post-exposure Prophylaxis / Preemptive Therapy for SARS-Coronavirus-2,All,18.0,No,Treatment,Randomized,Quadruple,Parallel Assignment
NCT04354701,2020_12,,Observational [Patient Registry],COVID-19 and Cancer Consortium Registry,All,18.0,Accepts Healthy Volunteers,,,,Case-Only
NCT04292730,2020_11,Phase 3,Interventional,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,All,12.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04374071,2020_11,,Observational,Early Short Course Corticosteroids in COVID-19,All,18.0,No,,,,Cohort
NCT04321369,2020_11,,Observational,Impact of Swab Site and Sample Collector on Testing Sensitivity for COVID-19 Virus in Symptomatic Individuals,All,,No,,,,Case-Only
NCT04292899,2020_10,Phase 3,Interventional,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),All,12.0,No,Treatment,Randomized,None (Open Label),Parallel Assignment
NCT04278404,2020_10,,Observational,"Pharmacokinetics, Pharmacodynamics, and Safety Profile of Understudied Drugs Administered to Children Per Standard of Care (POPS)",All,,Accepts Healthy Volunteers,,,,Other
NCT03852537,2019_49,Phase 2,Interventional,Steroid Dosing by bioMARker Guided Titration in Critically Ill Patients With Pneumonia,All,18.0,No,Treatment,Randomized,Double,Parallel Assignment
NCT04341012,2019_37,,Observational,Breath Analysis Based Disease Biomarkers of COVID-19 and Other Diseases,All,18.0,Accepts Healthy Volunteers,,,,Cohort
NCT03808922,2019_21,Phase 3,Interventional,Phase III DAS181 Lower Tract PIV Infection in Immunocompromised Subjects (Substudy: DAS181 for COVID-19): RCT Study,All,,No,Treatment,Randomized,Quadruple,Parallel Assignment
NCT03648372,2018_40,Phase 1,Interventional,"A Study to Evaluate the Safety, Tolerability and Pharmacokinetics (PK) of TAK-981 in Adult Participants With Advanced or Metastatic Solid Tumors or Relapsed/Refractory Hematologic Malignancies and in a Subset With Coronavirus Disease 2019 (COVID-19)",All,18.0,No,Treatment,,None (Open Label),Single Group Assignment
NCT01306084,2011_9,,Observational,Viral Infections in Healthy and Immunocompromised Hosts,All,,Accepts Healthy Volunteers,,,,Cohort
